id,created_at,title,content
23,2023-10-01 07:36:15.386851+00,LLMs will save information overflow,"The world is flooding with contents of all sorts. People don't stop consuming them. Even when they're eating, they'd watch videos on YouTube. The real issue with contents though, is that they're still localized, which also differs on a scale. Also, they're hard to be organized. It's hard for people nowadays to organize and structure information into a conclusion, since they get bombarded with them. So it all comes down to a needs for these roles, and LLMs are a perfect utility for this purpose."
24,2023-10-08 07:05:47.099392+00,Lessons from experience,"*Disclaimer: This essay does not intend to offend anyone. It is personally a writing of my understanding of the world and myself.*

I am person who learns quickly from personal experiences. In other words, I've always got to learn it the hard way. After quitting my job as a BD at Deer Corporation, an e-cooter startup based in Korea, I quickly assembled a team and started to doing projects with them. Little did I know that things started cracking apart when I didn't assemble a team centrifuged into a single interest. Here's what I've learned during the past five months spending with them. (Head's up, they're not really sorted out in a MECE format.)

1. Team-fit exists. Putting up a team from individuals with great performance and potential, doesn't guarantee the team to excel. In this situation, the team really doesn't get things done properly due to the conflicts in making decisions. Besides, being a good friend and great coworker is completely different.
2. Early teams must be lean. Any sorts of gathering that has a sole purpose should not be over three. The more person there is, less speed you'll be gaining. The concept of inertia is applied to people, too. Business is all about momentum, and it seems like a big team without any discipline will not get you anywhere.
3. You've got to have dedication. I've met so many brilliant people. But I've rarely seen a people with such intelligence to be dedicated to a single problem. I agree that there are so many things to be done in the world right now and there will always be more to solve. It's just how the world works. I also understand that there are so many interesting things that one cannot hesitate but to pay their interest towards it. But you can't make progress unless you spend time and effort on something, just a single one, for a shit load of time. If you've made a decision to work on something, suck it up and neglect everything else.
4. Do NOT exceed your capability. I found out that I can manage up to two projects at a time, but the output will not look good for either one of them. I know that I am person that needs to focus on one thing, and one thing only. If I am assigned to two or more projects, I know that I am going to drop one sooner or later, or else I'd flunk them all.
5. Home is NOT a place to work. I can assure you. NO ONE is productive in their homes, unless their under some special circumstances such as taking care of the baby and working at the same time. For ordinary people like us? Hell no. I am not taking that bull crap.
6. Credibility is everything. Credibility allows us to have transactions between one another. The best way to keep yourself credible is to not make any promises. However, the if you neglect the small ones, such as being tardy frequently, you will lose faith from others. (Mark my words.) There are two things to do to overcome this. The first, of course, is acting like the person with manners you'd hope for. Being punctual and sticking to the plan are things that applies to me. (I really hate people who are always late. I think they are inconsiderate, arrogant, and retarded.) Also, you need to be resilient. You must be firm on what you stand, which doesn't mean that you should be an asshole. But rather, you must think things through and try to evaluate things while trying to keep your edge."
25,2023-11-09 15:55:51.702288+00,Startup is fast-forwarding life.,"The essence of life lies in discovering meaning that sustains you. Running a startup accelerates this journey, continually unveiling new facets of yourself.

As Pado's co-founder, my options for activities are quite limited. My role necessitates getting tasks done, regardless of my enjoyment. While maintaining a low burn rate is commonly advised, I prioritize minimizing personal burnout.

Motivation springs from engaging in activities we enjoy, find intriguing, and believe in. This enjoyment is crucial, as it fuels the momentum needed for sustained effort.

Currently, my responsibilities span the entire spectrum, as it's just Q and myself. I'm tackling engineering tasks, conducting research, authoring tech blogs, and crafting marketing materials. Yet, here lies the irony:

Even as someone who aspired to a career in software engineering, who is passionate about technology and immersive tasks, I increasingly prefer strategizing and initiating tasks, often finding myself eager to delegate the implementation.

For the time being, I'm coping well, largely thanks to the support from ChatGPT—indeed, what would I have managed without you, OpenAI? However, looking ahead, I recognize the need to recruit individuals for tasks that, while necessary, don't align with my interests. This realization will likely serve as my cue."
26,2024-01-02 01:30:00.844458+00,2024 = inflection point,Got only one thing to say. 2024 is going to be the foundation for Pado's entry to America.
27,2023-10-29 08:33:00+00,원자력,"나는 원자핵공학을 전공했지만 지금은 해당 분야에 대한 연구가 아닌 다른 길을 걷고 있다. 그렇지만 마음속으로 원자력은 항상 깊은 애착을 가지고 있다. 주변이들은 알겠지만, 원자력과 같은 기저전력에 대한 투자가 이루어져야 한다고 항상 목소리를 내고 있다. 국가 차원에서도 에너지가 독립적이지 못하면 국민들의 생활은 직격탄을 맞게 된다. 독일의 경우 원자력 발전소를 다 해체하고 러시아산 천연가스에 의존했다가, 우크라이나-러시아 전쟁이 일어나니 피눈물을 흘릴 수 밖에 없는 실정이다.
비록 내가 벤처의 꿈을 안고 다른 길을 걷고 있지만, 언젠가는 다시 품고 싶은게 원자력이다. 그래서 이렇게 미국의 벤처캐피탈에서 해당 분야에 관심을 갖고 있다는걸 보면 뿌듯하면서도 부럽다. 민간에서도 도전이 이루어질 수 있는 환경이 조성되어 있고, 그걸 키워내줄 자본이 존재한다는건 축복이다. 
이공학이 세상에 새로운 변화를 만들어내는 것은 자명하다. 나도 나중에, 나중에는 에너지를 해보고 싶다. 아마 나의 도전의 끝은 원자력일거 같다. 내 아이돌 토니 스타크가 군수에서 에너지 회사로 피봇했던 것처럼."
28,2023-11-25 05:55:00+00,의심,"오늘 친구를 만나서 조언을 받으려고 했다가, 결국 신나게 인생 이야기만 주구장창 해버렸다. 친구가 이렇게 사는게 맞는가, 이게 내가 바랬던 인생인가 한탄했다. 나는 하고 싶은걸 찾아서 하라고 했다. 자기가 어떻게 하냐고 했다. 왜 못하냐고 물었다, 못하는건 배우면 되지 않느냐고 반문하며.

친구와 헤어지고 다른 친구와 집에 와서 이야기를 나눴다. 예술이 하고 싶다는 이야기를 듣고나서 하면 되지 않냐고 물었다. 친구는 자기가 아는게 없다고 했다. 난 알아야 하냐고 물었다. 배우면 되지 않냐고. 

하고 싶은걸 찾고, 그 중에서 선택하고, 선택에 후회하지 않으며, 변심하지 않고 몰두하는게 가장 어려운 일이라고 생각한다. 물론 그 과정에서 타협이 있을순 있지만, 그게 하고자 하는바를 이루기 위한 전략이라면 뭐 어떤가?

나도 이렇게 말은 하지만, 실로 지키기 어려운거 같다. 찾아내는걸 억지로 할수도 없거니와 설령 “찾아”낸다 한들 오래가지 못하는거 같다. 심지어 두근거리는 아이디어들이 많을때 그중에서 선택하는건 정말 어려운 일이다. 

의심될 수 밖에 없다. 의심할 수 밖에 없다. 나라는 사람이 어떤 사람인지 모르기 때문에 스스로 의심할 수 밖에 없다.

그런데 그냥 해야 한다. 그러기로 약속했으니까. 그러기로 마음 먹었으니까. 그래야 하니까. 이게 날 증명하는 순간이니까.

https://youtu.be/N-CNEe-mzb0?si=qfQoHgM0GnYY7Y2z"
29,2024-01-15 02:21:00+00,Tombstone,"Why do I exist? What is life's purpose? I think that life is all about pursuing what you want to be remembered for.

> How do I want to be remembered?

1. It was because of him, the world is full of love. He changed humanity to become more thoughtful.
2. It was because of him, fields in science and technology had a profound leap of innovation.
3. It was because of him, people could take more risks to make bold statements in the market."
30,2024-01-29 17:02:31.015237+00,Artist,"We should all aim to become artists. While many people nowadays fixate on money, history tends to remember great individuals for their deeds, not their wealth. 

But, do we all have to be great? Well, no. But must we all strive for greatness? Not necessarily. **Yet, if you, like me, aspire to leave a mark on the world, then indeed, you should pursue greatness.** First off, what's not great? That is mundane.

Being mundane is either normal or pathetic. Being mundane is not standing out. Being mundane is not contributing to a better world. Being mundane is being a boring person. Being mundane means no flavor, no color, nothing whatsoever. **Being mundane is dying.**

The whole purpose of life is to pursue a calling. A calling that you're willing to sacrifice the ""easy"" life --- working 9 to 6, enjoying hobbies, enjoying whiskey, and so on.

I tend to think of these callings in terms of what I'd like to be remembered for at my funeral. Pursuing a calling is about writing the most interesting story there has ever been. **No other story should excite you.** If so, you're probably working on the wrong thing.

Stories may turn out to be similar. This is quite common. After all, knowledge is a collective asset built by ""people"". Similar ideas, therefore, often emerge at the same time. 

However, that's okay. Your work primarily needs to resonate with you. Ideas may start out from the same seed. But working on it, **that is what will differentiate you from others.** It's your execution, your story, and your life.

If everyone embraced the artist within, the world would be full of rich stories, far more exciting than those of people who merely show off their bodies or wealth online. The world would be much more peaceful. The world would be much more beautiful. The world would be much more thoughtful. 

> The world needs to be artistic."
31,2024-07-11 00:09:36.163074+00,이성과 감성,"이성과 감성은 인간이 가진 특성이다. 이성이 있음으로써 우린 말이 되는 이야기를 주고 받을 수 있다. 또, 감성이 있음으로써 그 대화에 풍미를 더할 수 있다.

예를 들어보자.

""오늘 레슨하는데 제자가 말을 듣지 않아서 진짜 개빡침...""

""고생 많았네. 진짜 속 터지겠다.""

이렇게 하기 보단,

""오늘 레슨하는데 제자가 말을 듣지 않아서 진짜 개빡침...""

""와 정말? 나는 과외할 때 제자가 말 안들으면 회초리 들었는데, 너는 그래도 말로 잘 타이르는구나. 그래도 애정이 있으니 화가 나는걸거야. 언젠가는 네게 감사함을 표하는 날이 올거니까 좀만 더 힘내보자.""

어떤가? 풍미를 더 해주지 않는가? 

대화와 관계를 음식이라고 하면, 이성과 감성은 식재료이다. 이성만 있으면 퍽퍽한 요리가, 감성이라는 향신료가 더해지면서 그 맛을 배로 증폭시킨다.

지헌아, 풍미 넘치는 사람이 되자."
32,2024-07-11 00:09:52.489393+00,"자신감과 겸손, 오만함과 자격지심","사람은 자신감이 넘쳐야 한다. 그렇지만 겸손해야 한다.

사람은 겸손하지 아니하면 금새 오만해진다. 그리고 사람은 자신감이 없으면 금새 자격지심을 느낀다.

좋은 남자는, 좋은 사람은 자신감을 가지되 언제나 자신이 틀릴 수 있음을 인정해야 한다.

겸손해지기 위해선 정말 한없이 초라해지는 경험이 필요하다. 그리고 나 또한 한낱 미물에 불과하다는걸 깨달으면 언제나 겸손한 자세를 유지하는거 같다.

그러나 젊은 남자는 바보다. 젊은 남자는 금새 오만해지고, 자격지심을 느낀다. 젊은 남자는 이미 지난 뒤에야 이 모든걸 깨닫는다.

남자는 자신감을 가지되 겸손해야 한다. 그리고 초라해져야 한다."
