id,created_at,title,content,youtube_video_id
1,2023-04-21 12:06:27.178987+00,We choose to go to the Moon,,WZyRbnpGyzQ
2,2023-04-21 12:09:37.319737+00,The object of art is not about exhibitions,"> We are not here to do what already has been done.

> What really matters is the work to implement those ideas.

> The object of painting pictures is not to get them into exhibitions.",wEQawgkCMOU
3,2023-04-21 12:27:50.853637+00,You've got to find what you love,,UF8uR6Z6KLc
4,2023-04-21 12:29:21.791564+00,Macintosh,,2B-XwPjn9YY
5,2023-04-21 12:31:39.134929+00,Think in terms of economic ecosystems.,,nef6uTa2a5w
6,2023-04-21 12:35:19.447351+00,"An iPod, a phone, and an internet communicator",,MnrJzXM7a6o
7,2023-04-21 12:36:26.386449+00,"Conventions, mysteries, and secrets",,rFZrL1RiuVI
8,2023-04-21 12:36:54.869468+00,The Super Mario Effect,"> Shifting the focus from falling into pits to saving the princess, to stick with a task and learn more.",9vJRopau0g0
9,2023-04-21 12:37:42.294351+00,This is not a popularity contest,"> You want to be in a growing expanding industry, because that's where the opportunities will be.

> Okay is terrible. You want great. You want fantastic. You want wow.

> Leadership is about, no we're not going to go slow. We are going to go as fast as we know how.

> You keep compressing the time frames because people can move much faster than they think they are capable of.

> So this notion of mission posture also protects you against what we call mission creep, where the mission is creeping, it's getting bigger and bigger and bigger and bigger. You want to keep it very tight. We are going to do this thing and just this thing.

> Have conviction. You cannot be half-hearted. If the answer is not hell yes, it's hell no.

> As a leader, you have to have courage because you'll be doing things that people may not like. And you're not here to please or appease. You're here to lead. You've got to bring people along even when you're doing things that are not popular. This is not a popularity contest.

> You've got to bring great clarity to situations. How to think about things? What is going on? Because everybody gets confused, because conflicting information, what does it mean? How do I think about it? Leaders explain things in terms that people can understand.

> What's really important for entrepreneurs is that struggle and failure is not just normal, but it's the norm. I mean failure and struggle are very, very common. Successes are rare.

> When you fail, it's not a signal that you're no good. It just means that you need to learn. And now you are.",oiWwyt3HVT0
10,2023-04-21 12:39:49.320059+00,You can change life,,kYfNvmF0Bqw
11,2023-04-21 12:42:41.165925+00,"You have to run by ideas, not hierarchy",,f60dheI4ARg
12,2023-06-02 08:23:12.384046+00,Technology and humanity,"> When you keep ""people"" at the center of what you do, it can have an enormous impact.

> Measure your impact, not on ""likes"", but on ""lives"" you touch.

> When you're convinced that your cause is right, have the courage to take a stand. If you see a problem or injustice, recognize that no one will fix it, but you.",ckjkz8zuMMs
